stylecode,description,sku,mrp,size,colour,productname,model
CAMI-04-GRN-NBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-NBLU_L,500,L,Green,Camisole,https://www.dropbox.com/s/063jj4fh5vhowih/CAMI-04-GRN-NBLU%20COMBO.jpg?dl=0
CAMI-04-GRN-NBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-NBLU_XL,500,XL,Green,Camisole,https://www.dropbox.com/s/063jj4fh5vhowih/CAMI-04-GRN-NBLU%20COMBO.jpg?dl=0
CAMI-04-GRN-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-ORG_S,500,S ,Green,Camisole,https://www.dropbox.com/s/anmpm9dmjklflq3/CAMI-04-GRN-ORG%20COMBO.jpg?dl=0
CAMI-04-GRN-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-ORG_M,500,M,Green,Camisole,https://www.dropbox.com/s/anmpm9dmjklflq3/CAMI-04-GRN-ORG%20COMBO.jpg?dl=0
CAMI-04-GRN-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-ORG_L,500,L,Green,Camisole,https://www.dropbox.com/s/anmpm9dmjklflq3/CAMI-04-GRN-ORG%20COMBO.jpg?dl=0
CAMI-04-GRN-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-ORG_XL,500,XL,Green,Camisole,https://www.dropbox.com/s/anmpm9dmjklflq3/CAMI-04-GRN-ORG%20COMBO.jpg?dl=0
CAMI-04-GRYM-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-BPNK_S,500,S ,Grey,Camisole,https://www.dropbox.com/s/b9a7c7qsndxityj/CAMI-04-GRYM-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRYM-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-BPNK_M,500,M,Grey,Camisole,https://www.dropbox.com/s/b9a7c7qsndxityj/CAMI-04-GRYM-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRYM-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-BPNK_L,500,L,Grey,Camisole,https://www.dropbox.com/s/b9a7c7qsndxityj/CAMI-04-GRYM-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRYM-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-BPNK_XL,500,XL,Grey,Camisole,https://www.dropbox.com/s/b9a7c7qsndxityj/CAMI-04-GRYM-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRYM-GRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-GRN_S,500,S ,Grey,Camisole,https://www.dropbox.com/s/cn8xiumom8xp6az/CAMI-04-GRYM-GRN%20COMBO.jpg?dl=0
CAMI-04-GRYM-GRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-GRN_M,500,M,Grey,Camisole,https://www.dropbox.com/s/cn8xiumom8xp6az/CAMI-04-GRYM-GRN%20COMBO.jpg?dl=0
CAMI-04-GRYM-GRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-GRN_L,500,L,Grey,Camisole,https://www.dropbox.com/s/cn8xiumom8xp6az/CAMI-04-GRYM-GRN%20COMBO.jpg?dl=0
CAMI-04-GRYM-GRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-GRN_XL,500,XL,Grey,Camisole,https://www.dropbox.com/s/cn8xiumom8xp6az/CAMI-04-GRYM-GRN%20COMBO.jpg?dl=0
CAMI-04-GRYM-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LBLU_S,500,S ,Grey,Camisole,https://www.dropbox.com/s/mfljf8rlu2fi5er/CAMI-04-GRYM-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRYM-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LBLU_M,500,M,Grey,Camisole,https://www.dropbox.com/s/mfljf8rlu2fi5er/CAMI-04-GRYM-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRYM-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LBLU_L,500,L,Grey,Camisole,https://www.dropbox.com/s/mfljf8rlu2fi5er/CAMI-04-GRYM-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRYM-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LBLU_XL,500,XL,Grey,Camisole,https://www.dropbox.com/s/mfljf8rlu2fi5er/CAMI-04-GRYM-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRYM-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LGRY_S,500,S ,Grey,Camisole,https://www.dropbox.com/s/sd8jmn7nvt20zlh/CAMI-04-GRYM-LGRY%20COMBO.jpg?dl=0
CAMI-04-GRYM-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LGRY_M,500,M,Grey,Camisole,https://www.dropbox.com/s/sd8jmn7nvt20zlh/CAMI-04-GRYM-LGRY%20COMBO.jpg?dl=0
CAMI-04-GRYM-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LGRY_L,500,L,Grey,Camisole,https://www.dropbox.com/s/sd8jmn7nvt20zlh/CAMI-04-GRYM-LGRY%20COMBO.jpg?dl=0
CAMI-04-GRYM-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-LGRY_XL,500,XL,Grey,Camisole,https://www.dropbox.com/s/sd8jmn7nvt20zlh/CAMI-04-GRYM-LGRY%20COMBO.jpg?dl=0
CAMI-04-GRYM-MSTD,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRYM-MSTD_S,500,S ,Blue,Camisole,https://www.dropbox.com/s/xwrihjms0tpaj7d/CAMI-04-GRYM-MSTD%20COMBO.jpg?dl=0
